date,total_value,benchmark_value,benchmark_nasdaq_value
2026-01-08T00:00:00,1427099.243728334,24943.902703968342,91923.75806657132
2026-01-09T00:00:00,1444259.3911074563,25162.55129127251,93069.0200411249
2026-01-12T00:00:00,1459827.0596407065,25271.95133416832,93403.93745211605
2026-01-13T00:00:00,1458776.9902907903,25126.498291739263,92881.84528741427
2026-01-14T00:00:00,1446482.7667740532,25055.313325507566,92116.92361774296
2026-01-15T00:00:00,1466520.112113783,25103.566158475587,92350.10733781382
2026-01-16T00:00:00,1463674.0666058313,25165.515667700674,92572.92256256333
2026-01-19T00:00:00,1435410.1942413903,25200.077522059437,92700.06050439691
2026-01-20T00:00:00,1423956.1092412437,24644.73438310239,90602.43194912188
2026-01-21T00:00:00,1425858.6777827446,24757.73317500716,91195.95049212221
2026-01-22T00:00:00,1450627.4787018339,24935.140908157686,92039.84092590865
2026-01-23T00:00:00,1442800.0538064137,24690.802601882722,91419.21466911398
2026-01-26T00:00:00,1446437.3759441257,24657.26080657798,91222.49911760911
2026-01-27T00:00:00,1447336.3124054605,24706.40705578588,91834.71931097656
2026-01-28T00:00:00,1458449.6328685076,24370.839365553693,90884.85311927833
2026-01-29T00:00:00,1410668.7647225794,24458.019097509794,90841.99106108211
2026-01-30T00:00:00,1414194.392895911,24382.709627926233,89787.26712508127
2026-02-02T00:00:00,1437166.819061563,24800.058515330544,91496.3826771751
2026-02-03T00:00:00,1422741.031168106,24743.48522030341,90630.66821704572
2026-02-04T00:00:00,1406154.8604819525,24580.946473813034,88896.57355945325
2026-02-05T00:00:00,1376965.0913853003,24274.366914339596,87653.55136668216
2026-02-06T00:00:00,1392457.0088204136,24850.5612885172,89890.36324881669
2026-02-09T00:00:00,1398740.0665593445,24825.821943229414,90067.27752115205
2026-02-10T00:00:00,1396411.3193980972,24526.664451700286,88780.47726317868
2026-02-11T00:00:00,1384728.4370151036,24615.772423761548,89368.4559585317
2026-02-12T00:00:00,1361773.67791517,24242.835945202038,87592.37621207535
2026-02-13T00:00:00,1361598.542009462,24263.61759859929,87783.87914886419
2026-02-16T00:00:00,1354691.2533784574,24243.519672624767,87711.16641764343
2026-02-17T00:00:00,1355228.8060795502,24326.210924313636,87808.99976917077
2026-02-18T00:00:00,1369070.0250459972,24469.251104106428,88537.8911896823
2026-02-19T00:00:00,1358364.2390446628,24531.46370223409,88651.23605429847
2026-02-20T00:00:00,1361509.3940079496,24784.964302729815,89722.2659127526
2026-02-23T00:00:00,1330717.0684059942,24375.82596731186,88084.64888979867
2026-02-24T00:00:00,1328184.2486422344,24630.621707494603,89287.9196026884
2026-02-25T00:00:00,1341162.1869179725,24860.477046606597,90653.64524553344
2026-02-26T00:00:00,1339506.8581317223,24632.848163251183,89257.53685947834
2026-02-27T00:00:00,1334685.4664547748,24607.26644038316,89287.55001347512
2026-03-02T00:00:00,1336685.1989847692,24718.023147932487,89770.67102681333
2026-03-03T00:00:00,1317499.335095785,24680.971015795134,89503.99103443883
2026-03-04T00:00:00,1365906.774678887,25361.507152199745,92643.35641160794
2026-03-05T00:00:00,1358352.6784743187,25029.701870275196,91682.03751356341
2026-03-06T00:00:00,1357120.9652347579,24819.449640217354,90745.45483045746
2026-03-09T00:00:00,1342391.6700032738,25338.306039790157,93088.39472311735
2026-03-10T00:00:00,1356812.7477144343,24772.747157665784,91165.99038215773
2026-03-11T00:00:00,1348258.550799659,24882.70245253085,91678.75787782716
2026-03-12T00:00:00,1328277.1306421198,24527.683721228503,90182.24957174994
2026-03-13T00:00:00,1335656.8172079579,24556.744964030804,90273.557519814
2026-03-16T00:00:00,1349950.4658353387,24998.46869028872,92000.41674210317
2026-03-17T00:00:00,1357253.686968189,24879.754557163455,91799.06460802304
2026-03-18T00:00:00,1338781.3614763056,24443.752602905268,90123.45250986796
2026-03-19T00:00:00,1317433.0499091696,24621.067573612556,90767.25402883999
2026-03-20T00:00:00,1303123.5465635548,23953.34516243334,87980.08243608568
2026-03-23T00:00:00,1311879.4411367727,24291.32602238655,89283.22776421811
2026-03-24T00:00:00,1297978.2219372066,24017.819589918945,87927.69241944887
2026-03-25T00:00:00,1319693.552372712,24218.178345026565,88773.09713570122
2026-03-26T00:00:00,1301119.7586233697,23935.95707718935,87164.30846399674
2026-03-27T00:00:00,1273343.5983492646,23588.310524567496,85676.84003069624
2026-03-30T00:00:00,1280973.0106114724,23632.00728999765,85507.31202324992
2026-03-31T00:00:00,1289095.47990204,24419.602089428343,88798.98939401284
2026-04-01T00:00:00,1320685.4905085792,24345.318298749626,88934.7322140634
2026-04-02T00:00:00,1310148.3778318185,24325.870155844954,88858.57130001625
2026-04-03T00:00:00,1309391.907924424,24373.397373589687,89032.18073884025
